"templatename","templateprefix","fieldrank","fieldname","fieldtype","fieldoptions","fieldvalue","mandatory","group","linkedtable","onsubmit"
"Copy Submitted Data to New Form (Source)","","1","Where","text","","","0","TEST","","var form2 = {};
var target = Query.select(""Forms.templates"", ""id"", ""name='Target Form'"");
if (target == null) return 1;
form2.templateid = target[0].id;
form2.status = 0;
form2.name = Forms.getNewName(form2.templateid);
form2.owner = User.getName();
form2.date = Date.now();
form2.geo = Settings.getLocation();
form2.address = Settings.getAddress(form.geo);
form2.linkedtable = form.linkedtable;
form2.linkedid = form.linkedid;

var values2 = {};
values2.F1 = F1;
values2.F2 = F2;
values2.F3 = F3;

form2.value = JSON.stringify(values2);

Query.insert(""Forms.forms"", form2);

return 1;"
"Copy Submitted Data to New Form (Source)","","2","When","date","","","0","TEST","","var form2 = {};
var target = Query.select(""Forms.templates"", ""id"", ""name='Target Form'"");
if (target == null) return 1;
form2.templateid = target[0].id;
form2.status = 0;
form2.name = Forms.getNewName(form2.templateid);
form2.owner = User.getName();
form2.date = Date.now();
form2.geo = Settings.getLocation();
form2.address = Settings.getAddress(form.geo);
form2.linkedtable = form.linkedtable;
form2.linkedid = form.linkedid;

var values2 = {};
values2.F1 = F1;
values2.F2 = F2;
values2.F3 = F3;

form2.value = JSON.stringify(values2);

Query.insert(""Forms.forms"", form2);

return 1;"
"Copy Submitted Data to New Form (Source)","","3","Who","contact","","","0","TEST","","var form2 = {};
var target = Query.select(""Forms.templates"", ""id"", ""name='Target Form'"");
if (target == null) return 1;
form2.templateid = target[0].id;
form2.status = 0;
form2.name = Forms.getNewName(form2.templateid);
form2.owner = User.getName();
form2.date = Date.now();
form2.geo = Settings.getLocation();
form2.address = Settings.getAddress(form.geo);
form2.linkedtable = form.linkedtable;
form2.linkedid = form.linkedid;

var values2 = {};
values2.F1 = F1;
values2.F2 = F2;
values2.F3 = F3;

form2.value = JSON.stringify(values2);

Query.insert(""Forms.forms"", form2);

return 1;"
